time,new,expired,total
2015-02-01,517.0,0.0,517.0
2015-02-02,0.0,4.0,513.0
2015-02-03,6.0,7.0,512.0
2015-02-04,8.0,5.0,515.0
2015-02-05,1.0,3.0,513.0
2015-02-06,0.0,2.0,511.0
2015-02-09,3.0,3.0,511.0
2015-02-10,4.0,0.0,515.0
2015-02-12,6.0,5.0,516.0
2015-02-13,1.0,0.0,517.0
2015-02-23,2.0,2.0,517.0
2015-02-24,4.0,4.0,517.0
2015-02-25,1.0,1.0,517.0
2015-02-26,1.0,1.0,517.0
2015-02-27,1.0,1.0,517.0
2015-03-02,0.0,2.0,515.0
2015-03-03,2.0,1.0,516.0
2015-03-04,1.0,0.0,517.0
2015-03-06,1.0,2.0,516.0
2015-03-09,2.0,1.0,517.0
2015-03-10,0.0,1.0,516.0
2015-03-12,1.0,0.0,517.0
2015-03-19,0.0,1.0,516.0
2015-03-20,1.0,0.0,517.0
2015-03-23,0.0,1.0,516.0
2015-03-25,1.0,0.0,517.0
2015-04-09,1.0,2.0,516.0
2015-04-10,0.0,1.0,515.0
2015-05-12,1.0,1.0,515.0
2015-05-19,1.0,1.0,515.0
2015-05-21,2.0,2.0,515.0
2015-06-10,1.0,1.0,515.0
2015-06-11,1.0,1.0,515.0
2015-07-03,0.0,1.0,514.0
2015-07-06,4.0,4.0,514.0
2015-07-07,8.0,8.0,514.0
2015-07-08,4.0,3.0,515.0
2015-07-09,2.0,2.0,515.0
2015-07-14,4.0,4.0,515.0
2015-08-06,3.0,1.0,517.0
2015-09-08,0.0,1.0,516.0
2015-09-09,1.0,0.0,517.0
2015-09-23,1.0,1.0,517.0
2015-09-30,1.0,1.0,517.0
2015-10-05,2.0,5.0,514.0
2015-10-06,2.0,0.0,516.0
2015-10-08,1.0,1.0,516.0
2015-10-13,1.0,0.0,517.0
2015-10-15,0.0,1.0,516.0
2015-10-16,1.0,1.0,516.0
2015-10-19,8.0,7.0,517.0
2015-10-20,1.0,1.0,517.0
2015-10-21,3.0,6.0,514.0
2015-10-22,3.0,0.0,517.0
2015-10-26,1.0,1.0,517.0
2015-10-27,1.0,1.0,517.0
2015-10-28,1.0,0.0,518.0
2015-11-04,1.0,1.0,518.0
2015-11-17,1.0,1.0,518.0
2015-12-01,1.0,1.0,518.0
2015-12-09,1.0,2.0,517.0
2015-12-10,1.0,1.0,517.0
2015-12-15,2.0,2.0,517.0
2015-12-16,1.0,1.0,517.0
2015-12-22,1.0,1.0,517.0
2015-12-28,1.0,1.0,517.0
2015-12-30,1.0,1.0,517.0
2016-01-05,1.0,1.0,517.0
2016-01-06,1.0,0.0,518.0
2016-01-07,1.0,1.0,518.0
2016-01-12,1.0,1.0,518.0
2016-01-18,0.0,1.0,517.0
2016-01-20,1.0,0.0,518.0
2016-01-25,1.0,1.0,518.0
2016-02-01,4.0,4.0,518.0
2016-02-03,3.0,3.0,518.0
2016-02-15,1.0,1.0,518.0
2016-02-16,1.0,1.0,518.0
2016-02-17,2.0,2.0,518.0
2016-02-18,1.0,1.0,518.0
2016-02-19,2.0,3.0,517.0
2016-02-22,1.0,0.0,518.0
2016-02-23,1.0,1.0,518.0
2016-03-11,0.0,1.0,517.0
2016-03-15,1.0,1.0,517.0
2016-03-16,1.0,1.0,517.0
2016-03-17,2.0,2.0,517.0
2016-03-31,1.0,1.0,517.0
2016-04-01,1.0,1.0,517.0
2016-04-04,1.0,1.0,517.0
2016-04-05,3.0,3.0,517.0
2016-04-06,0.0,1.0,516.0
2016-04-07,1.0,0.0,517.0
2016-04-08,1.0,1.0,517.0
2016-04-12,1.0,1.0,517.0
2016-04-13,1.0,1.0,517.0
2016-04-14,13.0,13.0,517.0
2016-04-15,4.0,4.0,517.0
2016-04-16,1.0,1.0,517.0
2016-04-18,1.0,1.0,517.0
2016-04-19,9.0,12.0,514.0
2016-04-20,4.0,4.0,514.0
2016-04-22,1.0,0.0,515.0
2016-04-25,1.0,0.0,516.0
2016-04-26,1.0,0.0,517.0
2016-04-27,0.0,1.0,516.0
2016-04-28,2.0,2.0,516.0
2016-05-03,1.0,0.0,517.0
2016-05-04,1.0,1.0,517.0
2016-05-05,0.0,1.0,516.0
2016-05-09,2.0,2.0,516.0
2016-05-12,2.0,12.0,506.0
2016-05-13,1.0,0.0,507.0
2016-05-17,8.0,0.0,515.0
2016-05-18,2.0,2.0,515.0
2016-05-19,1.0,0.0,516.0
2016-05-23,0.0,1.0,515.0
2016-05-25,2.0,1.0,516.0
2016-05-31,1.0,1.0,516.0
2016-06-01,1.0,1.0,516.0
2016-06-20,0.0,1.0,515.0
2016-06-21,1.0,0.0,516.0
2016-07-11,1.0,1.0,516.0
2016-07-12,3.0,3.0,516.0
2016-07-13,3.0,3.0,516.0
2016-07-14,1.0,1.0,516.0
2016-07-16,1.0,1.0,516.0
2016-07-18,1.0,1.0,516.0
2016-07-19,1.0,3.0,514.0
2016-07-20,2.0,0.0,516.0
2016-07-25,2.0,2.0,516.0
2016-08-01,0.0,1.0,515.0
2016-08-02,1.0,0.0,516.0
2016-08-15,0.0,1.0,515.0
2016-08-16,1.0,0.0,516.0
2016-08-23,0.0,1.0,515.0
2016-08-25,1.0,0.0,516.0
2016-08-29,1.0,1.0,516.0
2016-09-12,1.0,1.0,516.0
2016-09-13,0.0,1.0,515.0
2016-09-14,1.0,0.0,516.0
2016-09-15,1.0,1.0,516.0
2016-09-16,1.0,1.0,516.0
2016-09-21,1.0,1.0,516.0
2016-09-22,1.0,1.0,516.0
2016-09-30,1.0,1.0,516.0
2016-10-03,0.0,1.0,515.0
2016-10-04,2.0,1.0,516.0
2016-10-05,0.0,1.0,515.0
2016-10-10,3.0,2.0,516.0
2016-10-11,1.0,3.0,514.0
2016-10-17,2.0,1.0,515.0
2016-10-18,5.0,4.0,516.0
2016-10-19,7.0,7.0,516.0
2016-10-20,1.0,1.0,516.0
2016-10-21,6.0,7.0,515.0
2016-10-24,2.0,2.0,515.0
2016-10-25,2.0,1.0,516.0
2016-10-26,1.0,2.0,515.0
2016-11-01,1.0,1.0,515.0
2016-11-08,1.0,0.0,516.0
2016-11-09,0.0,1.0,515.0
2016-11-10,2.0,1.0,516.0
2016-11-12,1.0,1.0,516.0
2016-11-23,1.0,1.0,516.0
2016-11-25,1.0,1.0,516.0
2016-11-29,1.0,1.0,516.0
2016-11-30,1.0,1.0,516.0
2016-12-11,0.0,1.0,515.0
2016-12-19,1.0,0.0,516.0
2016-12-22,6.0,2.0,520.0
2016-12-28,1.0,1.0,520.0
2016-12-31,0.0,4.0,516.0
2017-01-01,7.0,16.0,507.0
2017-01-02,10.0,0.0,517.0
2017-01-04,2.0,1.0,518.0
2017-01-05,2.0,0.0,520.0
2017-01-12,0.0,1.0,519.0
2017-01-16,2.0,1.0,520.0
2017-01-18,1.0,1.0,520.0
2017-01-23,0.0,1.0,519.0
2017-01-25,1.0,0.0,520.0
2017-01-30,2.0,2.0,520.0
2017-01-31,1.0,1.0,520.0
2017-02-01,3.0,3.0,520.0
2017-02-03,2.0,3.0,519.0
2017-02-07,2.0,1.0,520.0
2017-02-16,0.0,1.0,519.0
2017-02-22,1.0,0.0,520.0
2017-03-07,1.0,2.0,519.0
2017-03-08,1.0,0.0,520.0
2017-03-15,1.0,1.0,520.0
2017-04-11,0.0,1.0,519.0
2017-04-25,0.0,1.0,518.0
2017-04-26,6.0,5.0,519.0
2017-04-27,2.0,4.0,517.0
2017-04-28,1.0,0.0,518.0
2017-05-03,1.0,0.0,519.0
2017-05-04,1.0,1.0,519.0
2017-05-18,0.0,1.0,518.0
2017-05-23,1.0,1.0,518.0
2017-06-01,1.0,0.0,519.0
2017-06-17,0.0,1.0,518.0
2017-06-27,1.0,0.0,519.0
2017-07-06,0.0,1.0,518.0
2017-07-12,1.0,0.0,519.0
2017-07-13,0.0,1.0,518.0
2017-07-17,1.0,0.0,519.0
2017-08-01,2.0,3.0,518.0
2017-08-02,11.0,11.0,518.0
2017-08-03,6.0,10.0,514.0
2017-08-04,1.0,1.0,514.0
2017-08-07,1.0,0.0,515.0
2017-08-08,1.0,0.0,516.0
2017-08-09,1.0,1.0,516.0
2017-08-10,1.0,0.0,517.0
2017-08-14,0.0,1.0,516.0
2017-08-19,1.0,1.0,516.0
2017-08-22,1.0,1.0,516.0
2017-08-23,1.0,1.0,516.0
2017-08-30,1.0,1.0,516.0
2017-09-06,2.0,1.0,517.0
2017-09-12,2.0,2.0,517.0
2017-09-22,1.0,1.0,517.0
2017-10-17,2.0,2.0,517.0
2017-10-18,2.0,2.0,517.0
2017-10-19,8.0,8.0,517.0
2017-10-20,7.0,7.0,517.0
2017-10-21,0.0,6.0,511.0
2017-10-23,6.0,3.0,514.0
2017-10-24,2.0,0.0,516.0
2017-10-25,1.0,1.0,516.0
2017-10-26,6.0,9.0,513.0
2017-10-27,6.0,4.0,515.0
2017-10-30,3.0,3.0,515.0
2017-10-31,2.0,1.0,516.0
2017-11-04,1.0,1.0,516.0
2017-11-13,0.0,1.0,515.0
2017-11-14,1.0,1.0,515.0
2017-11-22,1.0,1.0,515.0
2017-12-14,1.0,0.0,516.0
2017-12-15,0.0,1.0,515.0
2017-12-20,1.0,0.0,516.0
2017-12-29,2.0,1.0,517.0
2018-01-02,1.0,1.0,517.0
2018-01-06,0.0,1.0,516.0
2018-01-23,1.0,1.0,516.0
2018-02-01,1.0,1.0,516.0
2018-02-02,1.0,1.0,516.0
2018-02-04,0.0,1.0,515.0
2018-02-19,0.0,1.0,514.0
2018-02-21,1.0,0.0,515.0
2018-02-28,1.0,1.0,515.0
2018-03-05,0.0,1.0,514.0
2018-04-02,1.0,1.0,514.0
2018-04-03,0.0,1.0,513.0
2018-04-04,1.0,1.0,513.0
