cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;slp:resource_uri
160532;ADRIANO ELI CORRÊA;ELI CORREA FILHO;c52c0c7115c9dd9f9bc58115c61187cc
160636;JOSÉ WILSON SANTIAGO FILHO;WILSON FILHO;25b43c4c7c9fb2b47c9ebec7df79b7b5
160636;JOSÉ WILSON SANTIAGO FILHO;WILSON FILHO;25b43c4c7c9fb2b47c9ebec7df79b7b5
178833;ALEXANDRE AUGUSTUS SERFIOTIS;ALEXANDRE SERFIOTIS;0d9aaa629879fe27435d80a2da1469e7
178904;EZEQUIEL ANGELO FONSECA;EZEQUIEL FONSECA;a3ff12708d2dc83d0a087f3f11630f39
76287;MARCELO VIVIANI GONÇALVES;MARCELO MATOS;35e6d568220831e252347905fa973553
76287;MARCELO VIVIANI GONÇALVES;MARCELO MATOS;35e6d568220831e252347905fa973553
92776;STEFANO AGUIAR DOS SANTOS;STEFANO AGUIAR;2b8eb6f08b64f3a0863ccd893c909b31
92776;STEFANO AGUIAR DOS SANTOS;STEFANO AGUIAR;2b8eb6f08b64f3a0863ccd893c909b31
74535;BENITO DA GAMA SANTOS;BENITO GAMA;8e90e0a14ef7e9403b236adc00ecfebd
74650;BONIFÁCIO JOSÉ TAMM DE ANDRADA;BONIFÁCIO DE ANDRADA;26aac1bb221d06549bcba1e5118ab112
74650;BONIFÁCIO JOSÉ TAMM DE ANDRADA;BONIFÁCIO DE ANDRADA;26aac1bb221d06549bcba1e5118ab112
74650;BONIFÁCIO JOSÉ TAMM DE ANDRADA;BONIFÁCIO DE ANDRADA;26aac1bb221d06549bcba1e5118ab112
74650;BONIFÁCIO JOSÉ TAMM DE ANDRADA;BONIFÁCIO DE ANDRADA;26aac1bb221d06549bcba1e5118ab112
159238;MARCUS VINÍCIUS CAETANO PESTANA DA SILVA;MARCUS PESTANA;74bfdec52533a202ad40d221cb3241e1
159238;MARCUS VINÍCIUS CAETANO PESTANA DA SILVA;MARCUS PESTANA;74bfdec52533a202ad40d221cb3241e1
141434;FLAVIANO FLÁVIO BAPTISTA DE MELO;FLAVIANO MELO;3f04a87ddb6df6fb86a2b9fa00a7f842
141434;FLAVIANO FLÁVIO BAPTISTA DE MELO;FLAVIANO MELO;3f04a87ddb6df6fb86a2b9fa00a7f842
141434;FLAVIANO FLÁVIO BAPTISTA DE MELO;FLAVIANO MELO;3f04a87ddb6df6fb86a2b9fa00a7f842
166402;MAGDA MOFATTO HON;MAGDA MOFATTO;88d37f2042927958ccf5876896692a01
166402;MAGDA MOFATTO HON;MAGDA MOFATTO;88d37f2042927958ccf5876896692a01
178901;TEREZA CRISTINA CORREA DA COSTA DIAS;TEREZA CRISTINA;64821e340e16e48cc582ac0d6c933fbe
177282;LUIZ GONZAGA RIBEIRO;SUBTENENTE GONZAGA;955c67745681dc7cff51f92335166159
177282;LUIZ GONZAGA RIBEIRO;SUBTENENTE GONZAGA;955c67745681dc7cff51f92335166159
141441;GEORGE HILTON DOS SANTOS CECÍLIO;GEORGE HILTON;1b8d14d3eee5e3ebbb7dd0b3a46df733
141441;GEORGE HILTON DOS SANTOS CECÍLIO;GEORGE HILTON;1b8d14d3eee5e3ebbb7dd0b3a46df733
141441;GEORGE HILTON DOS SANTOS CECÍLIO;GEORGE HILTON;1b8d14d3eee5e3ebbb7dd0b3a46df733
160602;ARNALDO JORDY FIGUEIREDO;ARNALDO JORDY;6c94125b2b5cd1cede8ad11fc72708e7
160602;ARNALDO JORDY FIGUEIREDO;ARNALDO JORDY;6c94125b2b5cd1cede8ad11fc72708e7
178954;LUCIO ANTONIO MOSQUINI;LUCIO MOSQUINI;ec1dd006836554159961a63a8c81e3a5
178849;HISSA NAGIB ABRAHAO FILHO;HISSA ABRAHÃO;d226d6f24870ca6ea150d419a06ce8db
141389;ANTONIO PEDRO INDIO DA COSTA;INDIO DA COSTA;50e64bca91f6d6cc5e785ec0fc75e78b
141389;ANTONIO PEDRO INDIO DA COSTA;INDIO DA COSTA;50e64bca91f6d6cc5e785ec0fc75e78b
141483;LINDOMAR BARBOSA ALVES;LINDOMAR GARÇON;ae5ddd51306363fef703226135bef02b
141483;LINDOMAR BARBOSA ALVES;LINDOMAR GARÇON;ae5ddd51306363fef703226135bef02b
141483;LINDOMAR BARBOSA ALVES;LINDOMAR GARÇON;ae5ddd51306363fef703226135bef02b
178879;LUCAS DE CASTRO SANTOS;LUCAS VERGILIO;db3a4ed05a88fd116a20568718cffaa2
74319;JOSÉ FRANCISCO PAES LANDIM;PAES LANDIM;b9bf2994bbbaf6fc25608e121f6250c5
74319;JOSÉ FRANCISCO PAES LANDIM;PAES LANDIM;b9bf2994bbbaf6fc25608e121f6250c5
74319;JOSÉ FRANCISCO PAES LANDIM;PAES LANDIM;b9bf2994bbbaf6fc25608e121f6250c5
74319;JOSÉ FRANCISCO PAES LANDIM;PAES LANDIM;b9bf2994bbbaf6fc25608e121f6250c5
160659;IOLANDA KEIKO MIASHIRO OTA;KEIKO OTA;11f9b717dc005fcb712a52ee0417fa40
160659;IOLANDA KEIKO MIASHIRO OTA;KEIKO OTA;11f9b717dc005fcb712a52ee0417fa40
160672;JEAN WYLLYS DE MATOS SANTOS;JEAN WYLLYS;a4510d8c98e826dbff8ddadeee92c86e
160672;JEAN WYLLYS DE MATOS SANTOS;JEAN WYLLYS;a4510d8c98e826dbff8ddadeee92c86e
163321;RONALDO NOGUEIRA DE OLIVEIRA;RONALDO NOGUEIRA;5424af20bb6f5090aa90f5574cacae04
163321;RONALDO NOGUEIRA DE OLIVEIRA;RONALDO NOGUEIRA;5424af20bb6f5090aa90f5574cacae04
178983;MARCIO LUIZ ALVINO DE SOUZA;MARCIO ALVINO;110d04e6dcb06a0836b3a62bdb647522
97707;HERÁCLITO DE SOUSA FORTES;HERÁCLITO FORTES;12dc2bacf63152929ecdad209a1715f5
178933;SERGIO DE SOUZA;SERGIO SOUZA;8a9650673b8a4ff82b4a8be4075d97ed
160510;LUIS HENRIQUE DE OLIVEIRA RESENDE;LUIS TIBÉ;0da6ce9a50001dfdc6ac318c1d62cbb1
160510;LUIS HENRIQUE DE OLIVEIRA RESENDE;LUIS TIBÉ;0da6ce9a50001dfdc6ac318c1d62cbb1
160575;ÉRIKA JUCÁ KOKAY;ERIKA KOKAY;087dca1a0649c9b96ed4c4f0f6a19bd0
160575;ÉRIKA JUCÁ KOKAY;ERIKA KOKAY;087dca1a0649c9b96ed4c4f0f6a19bd0
74651;CARLOS DO CARMO ANDRADE MELLES;CARLOS MELLES;71ff4225a84ccbb283c920cd6d4a9e2c
74651;CARLOS DO CARMO ANDRADE MELLES;CARLOS MELLES;71ff4225a84ccbb283c920cd6d4a9e2c
74651;CARLOS DO CARMO ANDRADE MELLES;CARLOS MELLES;71ff4225a84ccbb283c920cd6d4a9e2c
74651;CARLOS DO CARMO ANDRADE MELLES;CARLOS MELLES;71ff4225a84ccbb283c920cd6d4a9e2c
141503;MARIA DO SOCORRO JÔ MORAES;JÔ MORAES;eedde288fef3250fd161023f0450d546
141503;MARIA DO SOCORRO JÔ MORAES;JÔ MORAES;eedde288fef3250fd161023f0450d546
141503;MARIA DO SOCORRO JÔ MORAES;JÔ MORAES;eedde288fef3250fd161023f0450d546
74847;JAIR MESSIAS BOLSONARO;JAIR BOLSONARO;a97cbda4c2e19495b395b1d7b8dd23ed
74847;JAIR MESSIAS BOLSONARO;JAIR BOLSONARO;a97cbda4c2e19495b395b1d7b8dd23ed
74847;JAIR MESSIAS BOLSONARO;JAIR BOLSONARO;a97cbda4c2e19495b395b1d7b8dd23ed
74847;JAIR MESSIAS BOLSONARO;JAIR BOLSONARO;a97cbda4c2e19495b395b1d7b8dd23ed
137070;VICENTE ALVES DE OLIVEIRA JUNIOR;VICENTINHO JÚNIOR;c2344d9eade583657290c38214ee0540
178913;VENEZIANO VITAL DO RÊGO SEGUNDO NETO;VENEZIANO VITAL DO RÊGO;d39b89ee6c26dc7ef6f0437c1f9b70fd
160552;DANRLEI DE DEUS HINTERHOLZ;DANRLEI DE DEUS HINTERHOLZ;5a26dd700b622c1965ace105b62401a8
160552;DANRLEI DE DEUS HINTERHOLZ;DANRLEI DE DEUS HINTERHOLZ;5a26dd700b622c1965ace105b62401a8
74262;CARLOS HENRIQUE FOCESI SAMPAIO;CARLOS SAMPAIO;1a29541fdb3a68356675befa93997fc0
74262;CARLOS HENRIQUE FOCESI SAMPAIO;CARLOS SAMPAIO;1a29541fdb3a68356675befa93997fc0
74262;CARLOS HENRIQUE FOCESI SAMPAIO;CARLOS SAMPAIO;1a29541fdb3a68356675befa93997fc0
74262;CARLOS HENRIQUE FOCESI SAMPAIO;CARLOS SAMPAIO;1a29541fdb3a68356675befa93997fc0
141445;GILBERTO JOSÉ SPIER VARGAS;PEPE VARGAS;ce192ddd042a47f1eeb12ba2ce416e65
141445;GILBERTO JOSÉ SPIER VARGAS;PEPE VARGAS;ce192ddd042a47f1eeb12ba2ce416e65
141445;GILBERTO JOSÉ SPIER VARGAS;PEPE VARGAS;ce192ddd042a47f1eeb12ba2ce416e65
141335;JOSÉ ROBERTO OLIVEIRA FARO;BETO FARO;f4fd53b027d5869276d82ee1df6f7983
141335;JOSÉ ROBERTO OLIVEIRA FARO;BETO FARO;f4fd53b027d5869276d82ee1df6f7983
141335;JOSÉ ROBERTO OLIVEIRA FARO;BETO FARO;f4fd53b027d5869276d82ee1df6f7983
141335;JOSÉ ROBERTO OLIVEIRA FARO;BETO FARO;f4fd53b027d5869276d82ee1df6f7983
178892;DAMINA DE CARVALHO PEREIRA;DÂMINA PEREIRA;a837183abda57bed6ffd5f2c4458d5e0
178964;HEITOR JOSE SCHUCH;HEITOR SCHUCH;5c3338b2ef7f33b30d4a13886acb9773
160677;FRANCISCO FLORIANO DE SOUSA SILVA;FRANCISCO FLORIANO;6deaada6117c2c5f1130e626f85eeab7
160677;FRANCISCO FLORIANO DE SOUSA SILVA;FRANCISCO FLORIANO;6deaada6117c2c5f1130e626f85eeab7
74383;FERNANDO LÚCIO GIACOBO;GIACOBO;7b666f6f22b66fdbe709c4cdcc8a3816
74383;FERNANDO LÚCIO GIACOBO;GIACOBO;7b666f6f22b66fdbe709c4cdcc8a3816
74383;FERNANDO LÚCIO GIACOBO;GIACOBO;7b666f6f22b66fdbe709c4cdcc8a3816
74383;FERNANDO LÚCIO GIACOBO;GIACOBO;7b666f6f22b66fdbe709c4cdcc8a3816
178872;GIVALDO VIEIRA DA SILVA;GIVALDO VIEIRA;26760773a1c14c895666cb267ab4d7f9
160530;ANTONIO JOSÉ IMBASSAHY DA SILVA;ANTONIO IMBASSAHY;734e8973b6fbcf0fc75fe93e28e52c9f
160530;ANTONIO JOSÉ IMBASSAHY DA SILVA;ANTONIO IMBASSAHY;734e8973b6fbcf0fc75fe93e28e52c9f
178838;CARLOS CESAR CORREIA DE MESSIAS;CÉSAR MESSIAS;bbbd4a9bca5677a640bbadb95b2a69c1
178942;MARCO ANTONIO NEVES CABRAL;MARCO ANTÔNIO CABRAL;98c8a66c718b2557ccb5b6016ae2bb8b
67312;JULIA MARIA GODINHO DA CRUZ MARINHO;JÚLIA MARINHO;3c88805a8a2ff3c8786d33a23b6471cc
160558;PAULO ROBERTO FREIRE DA COSTA;PAULO FREIRE;6b7fccac6e139e1fa9c076b39292aa05
160558;PAULO ROBERTO FREIRE DA COSTA;PAULO FREIRE;6b7fccac6e139e1fa9c076b39292aa05
178982;LUIZ LAURO FERREIRA FILHO;LUIZ LAURO FILHO;0c143cc423f305a407035f99adeb9311
178999;BRUNIELE FERREIRA GOMES;BRUNNY;6fb66fb5c74bbae14b02e7a049aa2a71
73560;SILVIO FRANÇA TORRES;SILVIO TORRES;4fb8e11af6dc8554aeede20735c16f58
73560;SILVIO FRANÇA TORRES;SILVIO TORRES;4fb8e11af6dc8554aeede20735c16f58
73560;SILVIO FRANÇA TORRES;SILVIO TORRES;4fb8e11af6dc8554aeede20735c16f58
73560;SILVIO FRANÇA TORRES;SILVIO TORRES;4fb8e11af6dc8554aeede20735c16f58
160651;ROGÉRIO MENDONÇA;ROGÉRIO PENINHA MENDONÇA;1798f18e801408696d9337c401f7d44e
160651;ROGÉRIO MENDONÇA;ROGÉRIO PENINHA MENDONÇA;1798f18e801408696d9337c401f7d44e
178856;JOAO GUALBERTO VASCONCELOS;JOÃO GUALBERTO;f4ee46cae841fddf4829ede7d13e9f1c
144523;DANIEL ELIAS CARVALHO VILELA;DANIEL VILELA;20b3176ae9f777ee3f98d2a049d65667
160559;ALCEU MOREIRA DA SILVA;ALCEU MOREIRA;de9152db4694ebada93c83ea47e7c643
160559;ALCEU MOREIRA DA SILVA;ALCEU MOREIRA;de9152db4694ebada93c83ea47e7c643
178948;CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO;BETO ROSADO;ce6bd9c28bbfddce8f1bfecce219e0d5
141440;FRANCISCO LOPES DA SILVA;CHICO LOPES;f10e266998c5867d5357b6e676078cfa
141440;FRANCISCO LOPES DA SILVA;CHICO LOPES;f10e266998c5867d5357b6e676078cfa
141440;FRANCISCO LOPES DA SILVA;CHICO LOPES;f10e266998c5867d5357b6e676078cfa
74812;PEDRO PINHEIRO CHAVES;PEDRO CHAVES;f67ba81ced6747dc5aaf2ad8101a1a0c
74812;PEDRO PINHEIRO CHAVES;PEDRO CHAVES;f67ba81ced6747dc5aaf2ad8101a1a0c
74812;PEDRO PINHEIRO CHAVES;PEDRO CHAVES;f67ba81ced6747dc5aaf2ad8101a1a0c
74812;PEDRO PINHEIRO CHAVES;PEDRO CHAVES;f67ba81ced6747dc5aaf2ad8101a1a0c
178840;WHERLES FERNANDES DA ROCHA;ROCHA;6fa5e0e3a1def8c1a9aa27ac5c181ebc
160639;MARIA AUXILIADORA SEABRA REZENDE;PROFESSORA DORINHA SEABRA REZENDE;1b3bc50dd4c412d9a82c652030d401cd
160639;MARIA AUXILIADORA SEABRA REZENDE;PROFESSORA DORINHA SEABRA REZENDE;1b3bc50dd4c412d9a82c652030d401cd
178874;ANTONIO SERGIO ALVES VIDIGAL;SERGIO VIDIGAL;10c5ff44592fc3cdf53212cae5545892
141417;ÉDIO VIEIRA LOPES;EDIO LOPES;de93b601de0365466b1e17709cabdfd7
141417;ÉDIO VIEIRA LOPES;EDIO LOPES;de93b601de0365466b1e17709cabdfd7
141417;ÉDIO VIEIRA LOPES;EDIO LOPES;de93b601de0365466b1e17709cabdfd7
74571;NELSON VICENTE PORTELA PELLEGRINO;NELSON PELLEGRINO;08800a06fe7b8aa9729dd02ed4de4aab
74571;NELSON VICENTE PORTELA PELLEGRINO;NELSON PELLEGRINO;08800a06fe7b8aa9729dd02ed4de4aab
74571;NELSON VICENTE PORTELA PELLEGRINO;NELSON PELLEGRINO;08800a06fe7b8aa9729dd02ed4de4aab
74571;NELSON VICENTE PORTELA PELLEGRINO;NELSON PELLEGRINO;08800a06fe7b8aa9729dd02ed4de4aab
74317;JÚLIO CÉSAR DE CARVALHO LIMA;JÚLIO CESAR;034f31617165f6372b5a661b47ace134
74317;JÚLIO CÉSAR DE CARVALHO LIMA;JÚLIO CESAR;034f31617165f6372b5a661b47ace134
74317;JÚLIO CÉSAR DE CARVALHO LIMA;JÚLIO CESAR;034f31617165f6372b5a661b47ace134
74317;JÚLIO CÉSAR DE CARVALHO LIMA;JÚLIO CESAR;034f31617165f6372b5a661b47ace134
171623;FABIO DE ALMEIDA REIS;FABIO REIS;5be032efc24d77c932baee98fb21887d
171623;FABIO DE ALMEIDA REIS;FABIO REIS;5be032efc24d77c932baee98fb21887d
160640;EROS FERREIRA BIONDINI;EROS BIONDINI;7ff6598734c8cb7cc6acb03053a6f393
160640;EROS FERREIRA BIONDINI;EROS BIONDINI;7ff6598734c8cb7cc6acb03053a6f393
74862;MIRO TEIXEIRA;MIRO TEIXEIRA;d8fdeba183719042bd5cddcd4607f014
74862;MIRO TEIXEIRA;MIRO TEIXEIRA;d8fdeba183719042bd5cddcd4607f014
74862;MIRO TEIXEIRA;MIRO TEIXEIRA;d8fdeba183719042bd5cddcd4607f014
74862;MIRO TEIXEIRA;MIRO TEIXEIRA;d8fdeba183719042bd5cddcd4607f014
178895;MISAEL ARTUR FERREIRA VARELLA;MISAEL VARELLA;3cd3a1580bf702ba923912032425884e
166401;NILSON APARECIDO LEITÃO;NILSON LEITÃO;43cc9637bd7f314d17a6c8c1fb2b3884
166401;NILSON APARECIDO LEITÃO;NILSON LEITÃO;43cc9637bd7f314d17a6c8c1fb2b3884
74385;HIDEKAZU TAKAYAMA;TAKAYAMA;40e78fab3a3c34514f9cbc78e9c4d496
74385;HIDEKAZU TAKAYAMA;TAKAYAMA;40e78fab3a3c34514f9cbc78e9c4d496
74385;HIDEKAZU TAKAYAMA;TAKAYAMA;40e78fab3a3c34514f9cbc78e9c4d496
74385;HIDEKAZU TAKAYAMA;TAKAYAMA;40e78fab3a3c34514f9cbc78e9c4d496
178832;LEANDRE DAL PONTE;LEANDRE;0bb7142d09ba0bac056e48f188b9709a
178929;DIEGO ALEXSANDER GONCALO PAULA GARCIA;DIEGO GARCIA;0b46925f1e5e56fa9c23614bccbdab9a
74537;CLÁUDIO CAJADO SAMPAIO;CLAUDIO CAJADO;a274c94fa41c164b567cb977c3108ea2
74537;CLÁUDIO CAJADO SAMPAIO;CLAUDIO CAJADO;a274c94fa41c164b567cb977c3108ea2
74537;CLÁUDIO CAJADO SAMPAIO;CLAUDIO CAJADO;a274c94fa41c164b567cb977c3108ea2
74537;CLÁUDIO CAJADO SAMPAIO;CLAUDIO CAJADO;a274c94fa41c164b567cb977c3108ea2
178997;MOSES HAENDEL MELO RODRIGUES;MOSES RODRIGUES;6c1ea9d49ab4b1e9d83b165b04e19633
178854;ELMAR JOSE VIEIRA NASCIMENTO;ELMAR NASCIMENTO;941768cf0fd7b958547ffcf51b1a545c
74585;LINCOLN DINIZ PORTELA;LINCOLN PORTELA;073e5bc96cc31b2abd9d0cd54737475a
74585;LINCOLN DINIZ PORTELA;LINCOLN PORTELA;073e5bc96cc31b2abd9d0cd54737475a
74585;LINCOLN DINIZ PORTELA;LINCOLN PORTELA;073e5bc96cc31b2abd9d0cd54737475a
74585;LINCOLN DINIZ PORTELA;LINCOLN PORTELA;073e5bc96cc31b2abd9d0cd54737475a
178945;ROSANGELA DE SOUZA GOMES;ROSANGELA GOMES;d02a99e9f99c5692d613db26baf6f9c2
74467;DAMIÃO FELICIANO DA SILVA;DAMIÃO FELICIANO;8df93f3cc8baf31d756761a101841df3
74467;DAMIÃO FELICIANO DA SILVA;DAMIÃO FELICIANO;8df93f3cc8baf31d756761a101841df3
74467;DAMIÃO FELICIANO DA SILVA;DAMIÃO FELICIANO;8df93f3cc8baf31d756761a101841df3
74467;DAMIÃO FELICIANO DA SILVA;DAMIÃO FELICIANO;8df93f3cc8baf31d756761a101841df3
73531;IVAN VALENTE;IVAN VALENTE;16e4d42603c81f503f2297065e5567b4
73531;IVAN VALENTE;IVAN VALENTE;16e4d42603c81f503f2297065e5567b4
73531;IVAN VALENTE;IVAN VALENTE;16e4d42603c81f503f2297065e5567b4
73531;IVAN VALENTE;IVAN VALENTE;16e4d42603c81f503f2297065e5567b4
160589;BRUNA DIAS FURLAN;BRUNA FURLAN;5cc40832e037ae48672c6f8e3571cc3e
160589;BRUNA DIAS FURLAN;BRUNA FURLAN;5cc40832e037ae48672c6f8e3571cc3e
178884;HILDO AUGUSTO DA ROCHA NETO;HILDO ROCHA;780952df725a1253b78174a0b05f5513
160509;JORGINHO DOS SANTOS MELLO;JORGINHO MELLO;c13e21677df3a179cf3e76b3348d5865
160509;JORGINHO DOS SANTOS MELLO;JORGINHO MELLO;c13e21677df3a179cf3e76b3348d5865
178967;JOAO PAULO KARAM KLEINUBING;JOÃO PAULO KLEINÜBING;c92ce0769ee05751505613ad5a6a9517
73701;BENEDITA SOUZA DA SILVA SAMPAIO;BENEDITA DA SILVA;7640b6ed7ac6123c9016ee426aa357e6
73701;BENEDITA SOUZA DA SILVA SAMPAIO;BENEDITA DA SILVA;7640b6ed7ac6123c9016ee426aa357e6
143632;DOMINGOS GOMES DE AGUIAR NETO;DOMINGOS NETO;9d918fdd11e20460d55b5d0f12396af3
143632;DOMINGOS GOMES DE AGUIAR NETO;DOMINGOS NETO;9d918fdd11e20460d55b5d0f12396af3
74460;MARCELO COSTA E CASTRO;MARCELO CASTRO;6b931693f956a323caef2c355cbb761b
74460;MARCELO COSTA E CASTRO;MARCELO CASTRO;6b931693f956a323caef2c355cbb761b
74460;MARCELO COSTA E CASTRO;MARCELO CASTRO;6b931693f956a323caef2c355cbb761b
74460;MARCELO COSTA E CASTRO;MARCELO CASTRO;6b931693f956a323caef2c355cbb761b
178828;EVANDRO HERRERA BERTONE GUSSI;EVANDRO GUSSI;7e7323fb5accd67cbad79fbc4cd9f321
160538;ELVINO JOSÉ BOHN GASS;BOHN GASS;9c16da3d12257ebdbaa7b24fe51e5ec0
160538;ELVINO JOSÉ BOHN GASS;BOHN GASS;9c16da3d12257ebdbaa7b24fe51e5ec0
178831;ANDRE DOS SANTOS ABDON;ANDRÉ ABDON;f0091e199c5f753b034d129cd22eb76d
178959;HIRAN MANUEL GONCALVES DA SILVA;HIRAN GONÇALVES;d63b1a46ce45c8cedf7b78860d393703
74171;FRANCISCO RODRIGUES DE ALENCAR FILHO;CHICO ALENCAR;f4f5f8748638fda9054570ecdca66e4d
74171;FRANCISCO RODRIGUES DE ALENCAR FILHO;CHICO ALENCAR;f4f5f8748638fda9054570ecdca66e4d
74171;FRANCISCO RODRIGUES DE ALENCAR FILHO;CHICO ALENCAR;f4f5f8748638fda9054570ecdca66e4d
74171;FRANCISCO RODRIGUES DE ALENCAR FILHO;CHICO ALENCAR;f4f5f8748638fda9054570ecdca66e4d
141552;VALTENIR LUIZ PEREIRA;VALTENIR PEREIRA;719054fd4c37bf24f18e74664bfad1fa
141552;VALTENIR LUIZ PEREIRA;VALTENIR PEREIRA;719054fd4c37bf24f18e74664bfad1fa
141552;VALTENIR LUIZ PEREIRA;VALTENIR PEREIRA;719054fd4c37bf24f18e74664bfad1fa
178889;JOSÉ CARLOS NUNES JÚNIOR;ZÉ CARLOS;934122be59fb4bd14f5193e8387f86df
160633;LUIZ HENRIQUE MANDETTA;MANDETTA;ba22a03c5c5d9cac52fac5ccc65cf602
160633;LUIZ HENRIQUE MANDETTA;MANDETTA;ba22a03c5c5d9cac52fac5ccc65cf602
136811;JOSÉ ALFONSO EBERT HAMM;AFONSO HAMM;5de584aa861a023b8022f2d89ade4bc9
136811;JOSÉ ALFONSO EBERT HAMM;AFONSO HAMM;5de584aa861a023b8022f2d89ade4bc9
136811;JOSÉ ALFONSO EBERT HAMM;AFONSO HAMM;5de584aa861a023b8022f2d89ade4bc9
136811;JOSÉ ALFONSO EBERT HAMM;AFONSO HAMM;5de584aa861a023b8022f2d89ade4bc9
178869;VITOR PEREIRA VALIM;VITOR VALIM;3e4894b19d8f06218e9ceed4554e7fff
4930;SÍLVIO SERAFIM COSTA;SILVIO COSTA;0dd8773aa78eda35c4b0bd70ccdbc57e
4930;SÍLVIO SERAFIM COSTA;SILVIO COSTA;0dd8773aa78eda35c4b0bd70ccdbc57e
4930;SÍLVIO SERAFIM COSTA;SILVIO COSTA;0dd8773aa78eda35c4b0bd70ccdbc57e
178906;ROBERTO SALAME FILHO;BETO SALAME;ebad827ac9a4a4fb0ab0c06fdddc6f71
141454;JACOB ALFREDO STOFFELS KAEFER;ALFREDO KAEFER;f920b94a5dba2041a84eba2b9b201cf0
141454;JACOB ALFREDO STOFFELS KAEFER;ALFREDO KAEFER;f920b94a5dba2041a84eba2b9b201cf0
141454;JACOB ALFREDO STOFFELS KAEFER;ALFREDO KAEFER;f920b94a5dba2041a84eba2b9b201cf0
160596;HEULER ABREU CRUVINEL;HEULER CRUVINEL;6ace5ec16595e56210cb85b5ef0e5bc3
160596;HEULER ABREU CRUVINEL;HEULER CRUVINEL;6ace5ec16595e56210cb85b5ef0e5bc3
178926;RODRIGO RODRIGUES DE SOUZA MARTINS;RODRIGO MARTINS;1dd186dcd97d591dd15733e4be3bc488
74163;CARLOS HUMBERTO MANNATO;MANATO;70150cbf333468fd2ed0bb5322d13f4d
74163;CARLOS HUMBERTO MANNATO;MANATO;70150cbf333468fd2ed0bb5322d13f4d
74163;CARLOS HUMBERTO MANNATO;MANATO;70150cbf333468fd2ed0bb5322d13f4d
74163;CARLOS HUMBERTO MANNATO;MANATO;70150cbf333468fd2ed0bb5322d13f4d
73768;DILCEU JOÃO SPERAFICO;DILCEU SPERAFICO;8b51d05479003d2e33dc297e54537e21
73768;DILCEU JOÃO SPERAFICO;DILCEU SPERAFICO;8b51d05479003d2e33dc297e54537e21
73768;DILCEU JOÃO SPERAFICO;DILCEU SPERAFICO;8b51d05479003d2e33dc297e54537e21
73768;DILCEU JOÃO SPERAFICO;DILCEU SPERAFICO;8b51d05479003d2e33dc297e54537e21
141488;LUIZ PAULO TEIXEIRA FERREIRA;PAULO TEIXEIRA;8f96cb1fec49dfa1358c7ffd9006f47a
141488;LUIZ PAULO TEIXEIRA FERREIRA;PAULO TEIXEIRA;8f96cb1fec49dfa1358c7ffd9006f47a
